year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2024,Latvia,Export,Austria,Coal,96.0,171.016,LVA,AUT,Europe,Europe
2024,Latvia,Export,Estonia,Coal,1248633.0,386660.936,LVA,EST,Europe,Europe
2024,Latvia,Export,Germany,Coal,83.0,178.593,LVA,DEU,Europe,Europe
2024,Latvia,Export,Italy,Coal,2930.0,5412.985,LVA,ITA,Europe,Europe
2024,Latvia,Export,Lithuania,Coal,12935416.0,1579404.155,LVA,LTU,Europe,Europe
2024,Latvia,Export,Poland,Coal,2248377.0,282213.387,LVA,POL,Europe,Europe
2024,Malaysia,Export,Australia,Coal,2759.0,6172.937,MYS,AUS,Asia,Oceania
2024,Malaysia,Export,China,Coal,304340000.0,17685897.97,MYS,CHN,Asia,Asia
2024,Malaysia,Export,Indonesia,Coal,56.18,40.643,MYS,IDN,Asia,Asia
2024,Malaysia,Export,Japan,Coal,2.5,0.437,MYS,JPN,Asia,Asia
2024,Malaysia,Export,Rep. of Korea,Coal,1.0,1.093,MYS,KOR,Asia,Asia
2024,Malaysia,Export,Netherlands,Coal,1.0,1.093,MYS,NLD,Asia,Europe
2024,Malaysia,Export,Philippines,Coal,317218.0,442542.741,MYS,PHL,Asia,Asia
2024,Malaysia,Export,Saudi Arabia,Coal,1484000.0,1312274.983,MYS,SAU,Asia,Asia
2024,Malaysia,Export,Singapore,Coal,13198.76,4784.299,MYS,SGP,Asia,Asia
2024,Malaysia,Export,Viet Nam,Coal,63170000.0,3309131.257,MYS,VNM,Asia,Asia
2024,Malaysia,Export,Thailand,Coal,1.0,2.185,MYS,THA,Asia,Asia
2024,Malaysia,Export,Türkiye,Coal,20000.0,12135.666,MYS,TUR,Asia,Asia
2024,Israel,Export,Netherlands,Oil,140322380.111,77875000.0,ISR,NLD,Asia,Europe
2024,Latvia,Export,Estonia,Oil,14.0,74.684,LVA,EST,Europe,Europe
2024,Latvia,Export,Lithuania,Oil,1757690.0,543803.096,LVA,LTU,Europe,Europe
