Year,Price,Country,Fuel,countryISO
2021,650.07,Belgium,Petrol,BEL
2021,633.66,Belgium,Petrol,BEL
2021,632.2,Belgium,Petrol,BEL
2021,638.47,Belgium,Petrol,BEL
2021,638.47,Belgium,Petrol,BEL
2021,624.58,Belgium,Petrol,BEL
2021,607.53,Belgium,Petrol,BEL
2021,586.29,Belgium,Petrol,BEL
2021,593.15,Belgium,Petrol,BEL
2021,621.97,Belgium,Petrol,BEL
2021,635.63,Belgium,Petrol,BEL
2021,595.83,Belgium,Petrol,BEL
2021,570.5,Belgium,Petrol,BEL
2021,573.83,Belgium,Petrol,BEL
2021,569.16,Belgium,Petrol,BEL
2021,561.44,Belgium,Petrol,BEL
2021,566.92,Belgium,Petrol,BEL
2021,579.82,Belgium,Petrol,BEL
2021,587.44,Belgium,Petrol,BEL
2021,562.56,Belgium,Petrol,BEL
2021,524.29,Belgium,Petrol,BEL
2021,519.91,Belgium,Petrol,BEL
2021,512.05,Belgium,Petrol,BEL
2021,506.22,Belgium,Petrol,BEL
2021,480.66,Belgium,Petrol,BEL
2021,485.96,Belgium,Petrol,BEL
2021,470.34,Belgium,Petrol,BEL
2021,445.96,Belgium,Petrol,BEL
2020,475.05,Belgium,Petrol,BEL
2020,458.52,Belgium,Petrol,BEL
2020,442.82,Belgium,Petrol,BEL
2020,447.44,Belgium,Petrol,BEL
2020,445.63,Belgium,Petrol,BEL
2020,425.13,Belgium,Petrol,BEL
2020,420.83,Belgium,Petrol,BEL
2020,445.54,Belgium,Petrol,BEL
2020,471.58,Belgium,Petrol,BEL
2020,478.52,Belgium,Petrol,BEL
2020,466.62,Belgium,Petrol,BEL
2020,471.58,Belgium,Petrol,BEL
2020,487.94,Belgium,Petrol,BEL
2020,464.63,Belgium,Petrol,BEL
2020,493.89,Belgium,Petrol,BEL
2020,513.89,Belgium,Petrol,BEL
2020,491.16,Belgium,Petrol,BEL
2020,484.3,Belgium,Petrol,BEL
2020,480.91,Belgium,Petrol,BEL
2020,476.78,Belgium,Petrol,BEL
2020,483.72,Belgium,Petrol,BEL
2020,471.24,Belgium,Petrol,BEL
2020,446.45,Belgium,Petrol,BEL
2020,479.26,Belgium,Petrol,BEL
2020,458.85,Belgium,Petrol,BEL
2020,429.26,Belgium,Petrol,BEL
2020,431.96,Belgium,Petrol,BEL
2020,414.63,Belgium,Petrol,BEL
2020,423.89,Belgium,Petrol,BEL
2020,405.05,Belgium,Petrol,BEL
2020,383.56,Belgium,Petrol,BEL
2020,367.2,Belgium,Petrol,BEL
2020,354.88,Belgium,Petrol,BEL
2020,346.29,Belgium,Petrol,BEL
2020,311.78,Belgium,Petrol,BEL
2020,508.93,Belgium,Petrol,BEL
2020,305.46,Belgium,Petrol,BEL
2020,274.3,Belgium,Petrol,BEL
2020,289.18,Belgium,Petrol,BEL
2020,400.09,Belgium,Petrol,BEL
2020,491.08,Belgium,Petrol,BEL
2020,537.86,Belgium,Petrol,BEL
2020,536.7,Belgium,Petrol,BEL
2020,526.62,Belgium,Petrol,BEL
2020,548.93,Belgium,Petrol,BEL
2020,519.26,Belgium,Petrol,BEL
2020,562.57,Belgium,Petrol,BEL
2020,567.41,Belgium,Petrol,BEL
2020,569.1,Belgium,Petrol,BEL
2020,594.8,Belgium,Petrol,BEL
2019,563.15,Belgium,Petrol,BEL
2019,550.09,Belgium,Petrol,BEL
2019,534.63,Belgium,Petrol,BEL
2019,546.7,Belgium,Petrol,BEL
